Tier,Player,Position,Team,Bye,Kendall Valenzuela,Matthew Berry,Matthew Freedman,Dwain McFarland,Consensus,Last Week Difference,,ADP,Difference vs. ADP,Utilization Score
8,Cam Ward,QB,TEN,9,176,149,138,185,162,1,1,126.5,-35.5,
8,Daniel Jones,QB,IND,13,168,159,159,163,163,-1,-1,133.2,-29.1,
8,Seattle Seahawks,DST,SEA,11,,169,167,153,164,1,1,105,-58.0,
8,Germie Bernard,WR,PIT,9,172,176,145,173,165,-1,-1,,,
8,Los Angeles Rams,DST,LA,11,,170,172,159,166,5,5,102,-65.0,
8,Kayshon Boutte,WR,NE,11,166,,143,192,167,2,2,,,46
8,Emmett Johnson,RB,KC,5,157,,158,198,168,-2,-2,132.8,-38.2,
8,Antonio Williams,WR,WAS,7,153,187,181,164,169,1,1,136.7,-34.6,
8,Jalen McMillan,WR,TB,10,165,140,207,179,170,-3,-3,,,40
8,Nicholas Singleton,RB,TEN,9,154,202,140,201,171,1,1,135.2,-39.1,
8,T.J. Hockenson,TE,MIN,6,187,161,194,156,172,1,1,131.6,-42.9,59
8,Philadelphia Eagles,DST,PHI,10,,185,170,170,173,11,11,124,-51.0,
8,Chris Bell,WR,MIA,6,148,,142,235,174,-6,-6,,,
8,Brandon Aiyuk,WR,SF,8,177,207,149,167,175,7,7,132.8,-42.2,
8,Brian Robinson,RB,ATL,11,192,163,186,160,176,-1,-1,127.8,-47.5,19
8,Kaytron Allen,RB,WAS,7,167,204,146,187,177,-3,-3,,,
8,Jerry Jeudy,WR,CLE,11,174,166,183,182,178,0,0,,,55
8,Calvin Ridley,WR,TEN,9,186,183,151,188,179,-2,-2,,,45
8,Sean Tucker,RB,TB,10,184,177,148,202,180,-1,-1,,,24
8,Kaelon Black,RB,SF,8,156,,157,227,181,-5,-5,,,
8,Deebo Samuel,WR,Free Agent,0,173,147,227,178,182,9,9,134.5,-46.8,58
8,Tank Bigsby,RB,PHI,10,182,180,195,169,183,-3,-3,138.5,-43.0,19
8,Los Angeles Chargers,DST,LAC,7,,198,185,165,184,10,10,137.7,-45.0,
8,Jalen Nailor,WR,LV,13,228,148,196,162,185,-2,-2,,,35
8,Brandon Aubrey,K,DAL,14,,151,187,214,186,9,9,83.7,-100.3,
8,Minnesota Vikings,DST,MIN,6,,190,182,181,187,9,9,130,-54.3,
8,Dalton Schultz,TE,HOU,8,175,175,202,186,188,-7,-7,130.9,-53.6,69
8,Adonai Mitchell,WR,NYJ,13,183,167,201,203,189,-4,-4,,,39
8,Tre Tucker,WR,LV,13,210,158,222,171,190,-3,-3,,,55
8,James Conner,RB,ARI,14,180,,175,217,191,-2,-2,131.3,-59.4,61
8,Bryce Young,QB,CAR,5,185,164,213,204,192,-4,-4,126.3,-65.2,
